[X] ||| $Afyz	chavez ||| CFE=1 A=0-0
[X] ||| $rm	sharm ||| CFE=1 A=0-0
[X] ||| 00,16	16h00 ||| CFE=1 A=0-0
[X] ||| 00,21	21h00 ||| CFE=1 A=0-0
[X] ||| 1-1	1-1 ||| CFE=1 A=0-0
[X] ||| 10-1	1-10 ||| CFE=1 A=0-0
[X] ||| 11	11 ||| CFE=1 A=0-0
[X] ||| 12	12 ||| CFE=1 A=0-0
[X] ||| 127	127 ||| CFE=1 A=0-0
[X] ||| 14-1	1-14 ||| CFE=1 A=0-0
[X] ||| 15,9	9:15 ||| CFE=1 A=0-0
[X] ||| 15-1	1-15 ||| CFE=1 A=0-0
[X] ||| 17-1	1-17 ||| CFE=1 A=0-0
[X] ||| 170	170 ||| CFE=1 A=0-0
[X] ||| 1974	1974 ||| CFE=1 A=0-0
[X] ||| 2,3	3.2 ||| CFE=1 A=0-0
[X] ||| 2-1	1-2 ||| CFE=1 A=0-0
[X] ||| 2-2	202 ||| CFE=1 A=0-0
[X] ||| 20-1	1-20 ||| CFE=1 A=0-0
[X] ||| 200	200 ||| CFE=1 A=0-0
[X] ||| 2000	2000 ||| CFE=1 A=0-0
[X] ||| 2004	2004 ||| CFE=1 A=0-0
[X] ||| 23	23 ||| CFE=1 A=0-0
[X] ||| 24	24 ||| CFE=1 A=0-0
[X] ||| 25,10	10:25 ||| CFE=1 A=0-0
[X] ||| 25,13	13:25 ||| CFE=1 A=0-0
[X] ||| 26-1	1-26 ||| CFE=1 A=0-0
[X] ||| 28-1	1-28 ||| CFE=1 A=0-0
[X] ||| 3-2	2-3 ||| CFE=1 A=0-0
[X] ||| 30	30 ||| CFE=1 A=0-0
[X] ||| 30,14	14h30 ||| CFE=1 A=0-0
[X] ||| 30,19	19h30 ||| CFE=1 A=0-0
[X] ||| 32,1	1.32 ||| CFE=1 A=0-0
[X] ||| 4-1	1-4 ||| CFE=1 A=0-0
[X] ||| 48	48 ||| CFE=1 A=0-0
[X] ||| 5-1	1-5 ||| CFE=1 A=0-0
[X] ||| 51,6	6:15 ||| CFE=1 A=0-0
[X] ||| 6-2	2-6 ||| CFE=1 A=0-0
[X] ||| 60	60 ||| CFE=1 A=0-0
[X] ||| 65	65 ||| CFE=1 A=0-0
[X] ||| 7	7 ||| CFE=1 A=0-0
[X] ||| 7-2	2-7 ||| CFE=1 A=0-0
[X] ||| Abn	ibn ||| CFE=1 A=0-0
[X] ||| Ajdrwt	ajdrut ||| CFE=1 A=0-0
[X] ||| Akbr	akbar ||| CFE=1 A=0-0
[X] ||| Al$rq	al-sharq ||| CFE=1 A=0-0
[X] ||| Al$rwq	al-shuruq ||| CFE=1 A=0-0
[X] ||| Al$yx	alsheikh ||| CFE=1 A=0-0 ||| el-sheikh ||| CFE=1 A=0-0
[X] ||| AlAfgAnyp	afghan ||| CFE=1 A=0-0
[X] ||| AlAslAm	islam ||| CFE=1 A=0-0 ||| al-islam ||| CFE=2 A=0-0
[X] ||| AlAslAmyp	islamic ||| CFE=1 A=0-0
[X] ||| AlAsrA}yly	israel ||| CFE=1 A=0-0 ||| israeli ||| CFE=14 A=0-0
